Birthday Message
"May your birthday be filled with many happy hours and your life with many happy birthdays.
Happy Birthday!!!"
"We wish your every day to be filled with lots of laughter, happiness and the warmth of sunshine.
Have a wonderful birthday!!!"
"Wishing you health, happiness and success on your special day and always.
Happy Birthday!!!"
"We hope that you have a great year and accomplish all the fabulous goals you have set. May the coming years be filled with happiness, peace, and love.  Have a great day ahead. 
Wish you a very Happy Birthday!!!"
"Wishing you all the great things in life, hope this day brings you an extra share of all that makes you smile.
Happy Birthday."
